sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72716095,9,3,7,3,1,1,0,1,1,40640,303940,3810.1730604724617,26.32723
72716096,2,4,2,5,0,0,1,0,1,47944,26394,6446.768204895052,26.89678
72716110,1,4,2,2,1,0,0,0,1,48415,88909,1232.7435917623636,31.63544
72716119,14,7,7,5,1,1,0,1,1,140631,152703,2442.964447325855,60.60548
72716138,1,5,5,6,1,0,1,1,1,42321,188720,2126.2664264518867,41.78954
72716139,0,0,2,1,0,0,1,1,1,70667,103949,974.8049524285948,21.13265
72716144,0,2,0,2,0,0,1,0,0,51351,21760,2647.748161764706,22.64281
72716154,0,1,1,5,0,0,0,0,0,99451,24755,860.0282771157341,18.75513
72716162,5,0,2,7,1,0,1,0,0,47286,131674,1996.688792016647,21.1095
72716163,9,5,3,4,1,1,0,1,1,124863,32958,1981.7039868924085,33.43091
72716164,2,1,4,5,0,0,1,1,1,59533,84347,1054.5366165957296,32.93888
72716175,0,1,3,3,0,0,1,NA,NA,77686,58225,1665.8308286818378,32.93888
72716181,7,11,13,10,1,1,0,1,1,43307,144464,2598.15594196478,25
72716183,2,9,4,13,1,0,1,0,1,42949,32696,14772.785661854661,52.27629
72716191,2,0,4,0,0,0,0,1,1,55670,53955,624.0200166805672,21.13265
72716194,6,0,2,5,1,1,1,1,1,48677,26594,1213.6948183800857,27.04422
72716195,2,2,5,1,0,0,1,0,0,77111,36331,1828.3559494646445,21.13265
72716199,0,1,2,3,0,0,1,1,0,91022,40228,3908.073978323556,66.74261
72716203,6,1,3,3,1,1,0,0,1,45233,51227,1973.588146875671,51.46424
72716207,0,0,1,3,0,0,0,0,0,37714,24797,961.9712061942977,33.90863
72716208,3,0,3,1,1,0,0,1,1,63548,26811,926.9329752713439,52.11649
72716221,2,2,3,4,0,0,0,0,0,34956,20050,1435.71072319202,28.13565
72716225,3,1,2,2,0,0,0,0,1,75630,176753,1712.1519861049035,61.6207
72716227,0,0,1,2,1,1,0,1,1,41228,651073,1942.496463530203,17.34138
72716228,2,2,4,2,0,0,1,0,1,32193,30193,2095.618189646607,20.97418
72716235,0,0,0,7,0,0,0,0,0,78709,27087,571.7502861151106,29.94167
72716236,0,3,2,1,0,0,0,1,1,71707,79620,1015.8754081888972,26.46614
72716237,5,12,0,11,1,0,1,1,1,54701,911507,2484.2848162438686,17.63399
72716239,8,8,1,5,1,1,0,0,1,50356,36537,1355.8584448641104,37.38176
72716246,6,5,8,10,1,1,1,1,1,48626,34217,1115.790396586492,26.96657
72716247,1,0,3,3,0,0,1,1,1,50093,26273,1103.7186465192403,21.52372
72716254,1,0,5,4,0,0,0,1,1,34428,20737,1246.6123354390704,33.85587
72716260,1,1,1,1,0,0,0,0,0,97055,21148,1437.0153205976926,49.51088
72716262,1,3,5,5,1,0,1,1,1,53225,55126,4037.568479483365,64.11714
72716269,2,0,1,3,1,1,1,0,1,36406,60622,1693.0157368612056,29.98991
72716273,0,4,1,4,0,0,1,0,0,29339,20103,1534.298363428344,36.96911
72716278,11,4,4,4,1,1,0,1,1,43173,44233,1051.0252526394322,35.03407
72716280,1,1,3,6,0,0,0,1,1,47217,61448,2263.7189168077075,42.72624
72716290,11,0,4,1,1,1,0,1,1,70148,20742,6087.889306720664,27.83329
72716298,0,1,5,1,0,0,0,0,0,36890,22813,1785.1225178626223,33.13824
72716304,2,1,8,5,1,0,1,0,1,50211,27755,2801.5852999459557,24.27449
